"","Bacterial_Sample_Name","Viral_Sample_Name","Location","Expt_No","Depth","Expt_Date","Total_Bacteria","HNA","LNA","Total_Viruses","V1","V2","V3","VBR"
"1","BA210507.029","VI210507.038","PE477",1,7,2020-09-16,1053212.52059308,601835.726053189,451376.794539892,33559719.9341021,23971546.8462301,8282416.77146655,1305756.31640554,31.8641482871891
"2","BA210507.031","VI210507.040","PE477",2,15,2020-09-17,1331960.46128501,924609.741117734,407350.720167274,20796128.5008237,15758909.4207434,4640041.60568096,397177.474399321,15.613172541744
"3","BA210507.032","VI210507.041","PE477",2,30,2020-09-17,1317133.4431631,920638.081133271,396495.362029827,20484761.1202636,15635093.5183015,4472261.5628989,377406.039063198,15.5525328330206
"4","BA210507.030","VI210507.039","PE477",2,7,2020-09-17,1314415.15650741,910036.590360307,404378.566147106,20867792.4217463,15834291.6602692,4686580.28292922,346920.478547923,15.8761045309269
"5","BA210507.017","VI210507.026","PE477",3,15,2020-09-18,709843.492586491,416030.012176778,293813.480409713,36558484.3492586,26798754.1475372,8609647.42835983,1150082.77336161,51.5021758050479
"6","BA210507.018","VI210507.027","PE477",3,30,2020-09-18,777800.658978583,442729.073507492,335071.585471091,34008237.2322899,24419951.7867194,8367628.18818369,1220657.25738688,43.7235901509134
"7","BA210507.016","VI210507.025","PE477",3,7,2020-09-18,722446.457990115,429122.332189617,293324.125800498,37050247.1169687,26515367.9737221,9230582.52772321,1304296.61552337,51.2844193603557
"8","BA210507.020","VI210507.029","PE477",4,15,2020-09-19,632495.881383855,361179.34210171,271316.539282145,33649917.6276771,25765626.7688075,6870984.93192464,1013305.92694501,53.2017972260207
"9","BA210507.021","VI210507.030","PE477",4,30,2020-09-19,629283.360790774,341427.574724849,287855.786065925,34603789.1268534,26855993.9251088,6782160.90240692,965634.299337668,54.9892008639309
"10","BA210507.019","VI210507.028","PE477",4,7,2020-09-19,867009.884678748,583768.54667632,283241.338002428,39775947.2817133,29932416.3692441,8608210.2614526,1235320.65101667,45.8771554795497
"11","BA210507.023","VI210507.032","PE477",5,15,2020-09-20,1646416.80395387,982168.524009091,664248.27994478,52396210.8731466,37915421.2519859,12238241.1397421,2242548.48141867,31.8243902439024
"12","BA210507.024","VI210507.033","PE477",5,30,2020-09-20,1445757.82537068,836627.670345204,609130.155025472,45197693.5749588,32979471.957831,10506836.8985801,1711384.71854765,31.2622852747628
"13","BA210507.022","VI210507.031","PE477",5,7,2020-09-20,1562891.26853377,913724.482741651,649166.785792122,54172981.878089,39436826.2391272,12473195.1017415,2262960.53722027,34.6620286188632
"14","BA210507.006","VI210507.010","PE477",6,15,2020-09-21,869357.495881384,468495.32287986,400862.173001524,35762767.7100494,24658439.6462523,9405540.0467037,1698788.01709343,41.1370096645821
"15","BA210507.007","VI210507.011","PE477",6,30,2020-09-21,696622.73476112,375825.867885649,320796.866875472,24857495.8813839,17428818.9513151,6261811.93958525,1166864.99048349,35.6828662646328
"16","BA210507.005","VI210507.009","PE477",6,7,2020-09-21,865156.507413509,460347.18582773,404809.321585779,36079077.4299835,24830681.4110609,9534764.34528113,1713631.67364146,41.7023707512139
"17","BA210507.010","VI210507.014","PE477",7,15,2020-09-22,1198023.06425041,735554.556554406,462468.507696006,55025535.4200988,38395492.2221753,13347859.1745599,3282184.02336366,45.9302805280528
"18","BA210507.011","VI210507.015","PE477",7,30,2020-09-22,1178747.94069193,691100.855885359,487647.084806568,54002471.169687,37187679.0384158,13654887.2812317,3159904.85003947,45.8134171907757
"19","BA210507.009","VI210507.012","PE477",7,7,2020-09-22,1187149.91762768,723450.344976933,463699.572650744,54155683.6902801,37778323.0181066,13342704.6773154,3034655.99485808,45.6182348043297
"20","BA210506.107","VI210506.095","PE486",1,15,2021-04-14,964003.294892916,544065.921076655,419937.373816261,23256795.7166392,18296608.0980103,4425358.22845234,534829.390176592,24.1252243014612
"21","BA210506.108","VI210506.096","PE486",1,30,2021-04-14,1005642.50411862,549138.611313113,456503.892805503,27487438.2207578,22539961.3643504,4385317.71432169,562159.142085779,27.3332104681165
"22","BA210506.106","VI210506.094","PE486",1,7,2021-04-14,911243.822075783,507618.881638854,403624.940436928,20372940.6919275,15389386.0639212,4455441.33370021,528113.294306071,22.3572881355932
"23","BA210506.110","VI210506.098","PE486",2,15,2021-04-15,1192462.9324547,651444.945697748,541017.986756947,33907537.0675453,28243689.2312936,5045057.76987314,618790.066378546,28.4348772147964
"24","BA210506.111","VI210506.099","PE486",2,30,2021-04-15,1113261.94398682,575467.369026362,537794.574960459,28650123.5584843,22423910.1956497,5487894.19203108,738319.170803573,25.7352941176471
"25","BA210506.109","VI210506.097","PE486",2,7,2021-04-15,1128088.96210873,639699.193557552,488389.76855118,22428953.8714992,16790112.8481299,4964259.3715059,674581.651863367,19.8822562979189
"26","BA210506.113","VI210506.101","PE486",3,15,2021-04-16,933360.7907743,495149.319864254,438211.470910046,41497734.7611203,30883969.8967429,10039852.3259878,573912.5383896,44.460550701615
"27","BA210506.112","VI210506.100","PE486",3,7,2021-04-16,926688.63261944,482426.469280492,444262.163338948,42011738.0560132,31329704.2969815,10118805.8302219,563227.928809731,45.3353333333333
"28","BA210506.131","VI210506.119","PE486",4,15,2021-04-18,791453.871499176,432835.983711127,358617.887788049,12963138.3855025,8853204.82974071,3723394.69926977,386538.856491989,16.3788931387089
"29","BA210506.132","VI210506.120","PE486",4,30,2021-04-18,708051.894563427,357113.023906074,350938.870657352,12808690.2800659,8759397.00028061,3666541.0654047,382752.214380595,18.0900444987348
"30","BA210506.130","VI210506.118","PE486",4,7,2021-04-18,794913.509060955,436294.76891601,358618.740144946,13643945.6342669,9457040.46576239,3806586.12643434,380319.042070157,17.1640631071734
"31","BA210506.134","VI210506.122","PE486",5,15,2021-04-19,733752.059308072,367863.915294303,365888.14401377,17186367.3805601,11782008.7082467,4927503.49534456,476855.176968829,23.4225814599646
"32","BA210506.133","VI210506.121","PE486",5,7,2021-04-19,759699.341021417,379602.694131963,380096.646889454,18433072.4876442,12775866.49944,5101783.84168381,555422.146520351,24.2636415385866
"33","BA210506.135","VI210506.123","PE486",6,15,2021-04-20,1136799.83525535,623733.069104687,513066.766150667,39110584.8434926,27582750.4374572,10683721.0640895,844113.341945883,34.4041084723656
"34","BA210506.136","VI210506.124","PE486",6,7,2021-04-20,1253191.92751236,676372.855810926,576819.071701429,39722199.3410214,28477558.6530188,10426478.3795009,818162.308501738,31.6968203105743
"35","BA210506.156","VI210506.143","PE486",7,15,2021-04-21,1185481.87808896,664818.533695404,520663.344393558,41009060.9555189,30370841.3465538,9811132.1502425,827087.458722669,34.5927354213351
"36","BA210506.157","VI210506.144","PE486",7,30,2021-04-21,1253562.6029654,745121.168810338,508441.434155065,43081136.738056,32441632.0281304,9762093.32586869,877411.384056887,34.3669607215021
"37","BA210506.155","VI210506.142","PE486",7,7,2021-04-21,1153356.67215815,607621.449110631,545735.223047524,38603377.2652389,28580845.8257449,9321771.00342684,700760.436067135,33.4704590497616
"38","BA210506.161","VI210506.148","PE486",8,15,2021-04-22,829015.650741351,439210.317943421,389805.33279793,17881383.8550247,12792735.5109523,4608906.65236197,479741.691710467,21.569416498994
"39","BA210506.159","VI210506.146","PE486",8,30,2021-04-22,830869.02800659,431676.416364357,399192.611642233,26830724.8764415,21462022.8228857,4839851.77549396,528850.2780619,32.2923637445163
"40","BA210506.158","VI210506.145","PE486",8,7,2021-04-22,966042.009884679,535948.891559854,430093.118324824,25598846.7874794,20033325.7899027,4944296.6629867,621224.334589983,26.4986890068427
